time, node0_(3), node0_(2), node1_(3), node1_(2), node2_(3), node2_(2), node3_(3), node3_(2)
121, 39, 71, 18, 4, 0, 0, 0, 0
122, 42, 74, 16, 4, 0, 0, 0, 0
123, 45, 77, 14, 4, 0, 0, 0, 0
124, 46, 78, 12, 4, 0, 0, 0, 0
125, 47, 79, 10, 4, 0, 0, 0, 0
126, 48, 80, 8, 4, 0, 0, 0, 0
127, 48, 80, 6, 4, 0, 0, 0, 0
128, 48, 76, 4, 8, 0, 0, 0, 0
129, 49, 73, 4, 12, 0, 0, 0, 0
130, 50, 70, 4, 16, 0, 0, 0, 0
131, 51, 67, 4, 20, 0, 0, 0, 0
132, 51, 59, 4, 26, 0, 2, 0, 0
133, 54, 54, 4, 32, 0, 4, 0, 0
134, 54, 50, 4, 34, 0, 6, 0, 0
135, 54, 46, 4, 36, 0, 8, 0, 0
136, 54, 42, 4, 38, 0, 10, 0, 0
137, 54, 38, 4, 40, 0, 12, 0, 0
138, 54, 38, 4, 42, 0, 10, 0, 0
139, 55, 39, 4, 44, 0, 8, 0, 0
140, 56, 40, 4, 46, 0, 6, 0, 0
141, 57, 41, 4, 48, 0, 4, 0, 0
142, 57, 41, 4, 50, 0, 2, 0, 0
143, 57, 41, 4, 52, 0, 0, 0, 0
144, 57, 41, 4, 52, 0, 0, 0, 0
145, 57, 41, 4, 52, 0, 0, 0, 0
146, 58, 42, 4, 52, 0, 0, 0, 0
147, 59, 43, 4, 52, 0, 0, 0, 0
148, 60, 44, 4, 52, 0, 0, 0, 0
149, 61, 45, 4, 46, 0, 2, 0, 0
150, 61, 45, 4, 40, 0, 4, 0, 0
151, 62, 46, 4, 34, 0, 6, 0, 0
152, 64, 48, 4, 28, 0, 8, 0, 0
153, 64, 48, 4, 22, 0, 10, 0, 0
154, 61, 49, 8, 16, 0, 10, 0, 0
155, 59, 51, 12, 10, 0, 10, 0, 0
156, 56, 52, 16, 8, 0, 6, 0, 0
157, 53, 53, 20, 10, 0, 2, 0, 0
158, 47, 55, 24, 12, 0, 0, 0, 0
159, 40, 58, 28, 10, 0, 0, 0, 0
160, 36, 60, 28, 8, 0, 0, 0, 0
161, 34, 64, 28, 6, 0, 0, 0, 0
162, 31, 67, 28, 4, 0, 0, 0, 0
163, 32, 70, 28, 2, 0, 0, 0, 0
164, 33, 73, 28, 0, 0, 0, 0, 0
165, 37, 77, 28, 0, 0, 0, 0, 0
166, 39, 79, 28, 0, 0, 0, 0, 0
167, 39, 79, 28, 0, 0, 0, 0, 0
